Date,Up or Down,Weather
2023-06-09,-2.73,Partially cloudy
2023-06-12,48.56,Partially cloudy
2023-06-13,119.32,Partially cloudy
2023-06-14,-25.06,Partially cloudy
2023-06-15,183.62,Partially cloudy
2023-06-16,-31.23,Partially cloudy
2023-06-20,-146.2,Partially cloudy
2023-06-21,8.08,"Rain, Partially cloudy"
2023-06-22,-56.3,"Rain, Partially cloudy"
2023-06-23,-131.35,"Rain, Partially cloudy"
2023-06-26,49.39,Partially cloudy
2023-06-27,127.94,Partially cloudy
2023-06-28,-29.32,Partially cloudy
2023-06-29,120.02,Clear
2023-06-30,138.53,Clear
2023-07-03,42.59,Partially cloudy
2023-07-05,-82.97,"Rain, Partially cloudy"
2023-07-06,-193.86,"Rain, Partially cloudy"
2023-07-07,29.96,"Rain, Partially cloudy"
2023-07-10,77.24,Partially cloudy
2023-07-11,148.44,Partially cloudy
2023-07-12,113.97,Partially cloudy
2023-07-13,95.57,Partially cloudy
2023-07-14,-66.62,Partially cloudy
2023-07-17,13.94,Clear
2023-07-18,102.34,Partially cloudy
2023-07-19,74.43,Partially cloudy
2023-07-20,32.77,Partially cloudy
2023-07-21,25.41,Partially cloudy
2023-07-24,80.02,Partially cloudy
2023-07-25,16.03,"Rain, Partially cloudy"
2023-07-26,33.03,Clear
2023-07-27,-147.61,Clear
2023-07-28,92.66,"Rain, Partially cloudy"
2023-07-31,64.03,Partially cloudy
2023-08-01,-70.78,Partially cloudy
2023-08-02,-181.97,Partially cloudy
2023-08-03,-49.12,Clear
2023-08-04,-54.36,Partially cloudy
2023-08-07,137.17,Partially cloudy
2023-08-08,-31.88,Partially cloudy
2023-08-09,-40.58,Partially cloudy
2023-08-10,-0.55,Partially cloudy
2023-08-11,8.16,Partially cloudy
2023-08-14,-27.33,Partially cloudy
2023-08-15,-204.74,Partially cloudy
2023-08-16,-93.2,Partially cloudy
2023-08-17,-83.73,Partially cloudy
2023-08-18,15.79,Partially cloudy
2023-08-21,-3.96,Partially cloudy
2023-08-22,-55.93,"Rain, Partially cloudy"
2023-08-23,132.99,Partially cloudy
2023-08-24,-140.26,"Rain, Partially cloudy"
2023-08-25,83.9,Partially cloudy
2023-08-28,112.68,Partially cloudy
2023-08-29,161.9,Partially cloudy
2023-08-30,32.73,Clear
2023-08-31,-73.85,Partially cloudy
2023-09-01,91.42,Partially cloudy
2023-09-05,-149.31,"Rain, Partially cloudy"
2023-09-06,-50.95,Partially cloudy
2023-09-07,-27.34,Partially cloudy
2023-09-08,14.8,Clear
2023-09-11,70.45,Partially cloudy
2023-09-12,4.47,Partially cloudy
2023-09-13,-27.27,Partially cloudy
2023-09-14,162.84,"Rain, Partially cloudy"
2023-09-15,-115.8,"Rain, Partially cloudy"
2023-09-18,-21.16,Partially cloudy
2023-09-19,-23.51,Partially cloudy
2023-09-20,-69.39,Partially cloudy
2023-09-21,-258.02,Partially cloudy
2023-09-22,-32.09,Partially cloudy
2023-09-25,24.22,"Rain, Partially cloudy"
2023-09-26,-212.15,Partially cloudy
2023-09-27,13.11,"Rain, Partially cloudy"
2023-09-28,83.38,Partially cloudy
2023-09-29,-79.86,Partially cloudy
2023-10-02,-168.2,Partially cloudy
2023-10-03,-186.59,"Rain, Overcast"
2023-10-04,21.3,"Rain, Overcast"
2023-10-05,2.08,"Rain, Partially cloudy"
2023-10-06,141.12,Clear
2023-10-09,104.06,Partially cloudy
2023-10-10,132.16,Partially cloudy
2023-10-11,37.54,"Rain, Partially cloudy"
2023-10-12,-158.23,Partially cloudy
2023-10-13,-5.85,Partially cloudy
2023-10-16,160.8,Clear
2023-10-17,56.88,Clear
2023-10-18,-216.42,Partially cloudy
2023-10-19,-128.59,Partially cloudy
2023-10-20,-163.06,Clear
2023-10-23,-87.3,"Rain, Partially cloudy"
2023-10-24,79.75,Partially cloudy
2023-10-25,-111.64,Partially cloudy
2023-10-26,-55.42,"Rain, Overcast"
2023-10-27,-182.92,"Rain, Partially cloudy"
2023-10-30,150.11,"Rain, Overcast"
